District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;0;0;0;0;0;0
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;0;0;0;0;0;0
151;Nabeul1;391;6,81;46;4,92;437;0,24
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;4090;71,19;649;69,41;4739;3,52
230;Kef;0;0;0;0;0;0
240;Siliana;0;0;0;0;0;0
310;Sousse;374;6,51;61;6,52;435;0,17
320;Monastir;321;5,59;50;5,35;371;0,18
330;Mahdia;569;9,9;129;13,8;698;0,5
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;0;0;0;0;0;0
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;5745;0,15;935;0,16;6680;0,16
