District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;391;11,68;91;17,43;482;0,22
112;Tunis 2;288;8,6;51;9,77;339;0,15
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;0;0;0;0;0;0
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;0;0;0;0;0;0
240;Siliana;0;0;0;0;0;0
310;Sousse;0;0;0;0;0;0
320;Monastir;0;0;0;0;0;0
330;Mahdia;0;0;0;0;0;0
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;0;0;0;0;0;0
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;428;12,79;80;15,33;508;1,14
610;Gafsa;0;0;0;0;0;0
620;Tozeur;2240;66,93;300;57,47;2540;5,45
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;3347;0,09;522;0,09;3869;0,09
