District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;0;0;0;0;0;0
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;0;0;0;0;0;0
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;0;0;0;0;0;0
240;Siliana;0;0;0;0;0;0
310;Sousse;0;0;0;0;0;0
320;Monastir;619;10,22;113;7,23;732;0,35
330;Mahdia;4786;79,03;1302;83,3;6088;4,33
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;651;10,75;148;9,47;799;0,44
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;6056;0,16;1563;0,27;7619;0,18
